ColorA,ColorB,Value,Key
Pink,Blue,1,pinkblue
Pink,Grey,1,pinkgrey
Pink,Navy,1,pinknavy
Red,Blue,1,redblue
Red,Grey,1,redgrey
Red,Navy,1,rednavy
Blue,Red,1,bluered
Grey,Red,1,greyred
Navy,Red,1,navyred
Orange,Green,1,orangegreen
Orange,Blue,1,orangeblue
Orange,Navy,1,orangenavy
Biege,Navy,1,biegenavy
Biege,Purple,1,biegepurple
Biege,Brown,1,biegebrown
Yellow,Green,1,yellowgreen
Yellow,Blue,1,yellowblue
Green,Orange,1,greenorange
Green,Purple,1,greenpurple
Blue,Pink,1,bluepink
Blue,Orange,1,blueorange
Grey,Pink,1,greypink
Navy,Pink,1,navypink
Navy,Orange,1,navyorange
Purple,Orange,1,purpleorange
Purple,Grey,1,purplegrey
Purple,Green,1,purplegreen
Brown,Biege,1,brownbiege
Grey,Navy,1,greynavy
Grey,Purple,1,greypurple
Blue,White,1,bluewhite
Grey,White,1,greywhite
Navy,White,1,navywhite
Red,White,1,redwhite
Green,White,1,greenwhite
Purple,White,1,purplewhite
Brown,White,1,brownwhite
Orange,White,1,orangewhite
Pink,White,1,pinkwhite
Biege,White,1,biegewhite
White,Blue,1,whiteblue
White,Grey,1,whitegrey
White,Navy,1,whitenavy
White,Red,1,whitered
White,Green,1,whitegreen
White,Purple,1,whitepurple
White,Brown,1,whitebrown
White,Orange,1,whiteorange
White,Pink,1,whitepink
White,Biege,1,whitebiege
Blue,Black,1,blueblack
Grey,Black,1,greyblack
Navy,Black,1,navyblack
Red,Black,1,redblack
Green,Black,1,greenblack
Purple,Black,1,purpleblack
Brown,Black,1,brownblack
Orange,Black,1,orangeblack
Pink,Black,1,pinkblack
Biege,Black,1,biegeblack
Black,Blue,1,blackblue
Black,Grey,1,blackgrey
Black,Navy,1,blacknavy
Black,Red,1,blackred
Black,Green,1,blackgreen
Black,Purple,1,blackpurple
Black,Brown,1,blackbrown
Black,Orange,1,blackorange
Black,Pink,1,blackpink
Black,Biege,1,blackbiege
